property,total_of_109,Ledger-mediated trust,Certificateless split-key,Zero-knowledge/privacy credential,Other/classical-general,Hardware-/device-rooted,Group-/ring-signature,Post-quantum
Anonymity,92,46/57,14/15,7/9,8/10,7/7,5/6,5/5
Replay resistance,77,40/57,13/15,6/9,6/10,4/7,4/6,4/5
Revocation,76,41/57,12/15,6/9,5/10,3/7,5/6,4/5
Mutual authentication,69,37/57,11/15,4/9,6/10,6/7,2/6,3/5
Session-key secrecy,63,34/57,11/15,2/9,4/10,7/7,2/6,3/5
MITM resistance,61,32/57,12/15,3/9,5/10,4/7,2/6,3/5
Impersonation resistance,47,23/57,5/15,6/9,4/10,5/7,1/6,3/5
Unlinkability,41,20/57,5/15,3/9,3/10,4/7,3/6,3/5
Perfect forward secrecy,31,17/57,3/15,0/9,5/10,5/7,1/6,0/5
Key-compromise impersonation,1,1/57,0/15,0/9,0/10,0/7,0/6,0/5
