source_database,title
Scopus,Baa-iov: Blockchain-enabled anonymous authentication for internet of vehicles
Scopus,A Blockchain-Based Federated Identity Framework for Secure Multi-Domain IoT Interoperability
Scopus,TACA: Blockchain-Based Traceable and Anonymous Cross-Domain Authentication Scheme for IIoT
Scopus,IDSF : A Cross-Domain Data Trustworthy Sharing Framework for Large-Scale IIoT with Integrated DID and Enhanced PBFT Algorithm
WoS,PQEdgeAuth: Postquantum Secure Edge-Assisted Cross Domain Authentication With Efficient Consensus
Scopus,Blockchain-Based Identity Identification Technology: Cross-Domain Access Control in the Internet of Things
Scopus,BCALI: A Blockchain-Based Lightweight Cross-Domain Access Control Model for IoT
Scopus,A Secure Frame Work Using Blockchain with CP-ABE for IoT Environment
Scopus,"21st EAI International Conference on Security and Privacy in Communication Networks, SecureComm 2025"
Scopus,"25th International Conference on Algorithms and Architectures for Parallel Processing, ICA3PP 2025"
Scopus,A Privacy-Enhanced Direct Roaming Authentication Protocol for Communication in VANETs
Scopus,Blockchain Authorized Privacy-Preserving Framework Using Edge Computing for the Cloud-Assisted Internet of Medical Things
Scopus,"40th CCF National Conference on Computer Applications, CCF NCCA 2025"
Scopus,"11th International Conference on Mathematics and Computing, ICMC 2025"
Scopus,"6th International Conference on Computer and Communication Technologies, IC3T 2024"
WoS,"Blockchain-based cross-domain IoT data sharing: A lightweight, secure edge-assisted approach"
WoS,Privacy-Preserving Authentication Scheme for V2G in social IoT Based on Certificateless Aggregate Signatures
Scopus,A Blockchain-Assisted Cross-Domain Mutual Authentication Scheme for the Internet of Things
Scopus,A ZKP-Based Cross-Domain Continuous Authentication Scheme for Industrial Internet of Things
WoS,An ECC-Based Anonymous and Fast Handover Authentication Protocol for Internet of Vehicles
WoS,CDAS: A Secure Cross-Domain Data Sharing Scheme Based on Blockchain
WoS,Blockchain-based access management framework for interoperable digital twins in industrial IoT
Scopus,Analyzing Blockchain Technology for Enhancing Security in Smart Home Systems: Current Developments and Future Directions
Scopus,HA-CAAP: Hardware-Assisted Continuous Authentication and Attestation Protocol for IoT Based on Blockchain
WoS,Research on key technologies of cross-domain authentication for intelligent vehicle networks based on massive identity resolution
Scopus,A Cuckoo Filter-Based Anomaly Detection and Localization Mechanism for SDN-Based Multidomain IoT
WoS,End-to-End Federated Intelligence for Secure and Standardized Digital Twin Orchestration in 6G Smart Cities
Scopus,Privacy-Preserving Identity Management using Blockchain in Cybersecurity Systems
Scopus,Holistic Security for Distributed Systems: Blockchain-Based Passport Identity Verification and Al-Driven Dynamic Trust Management
Scopus,Hierarchical Defense Model based on Post-quantum Cryptography
WoS,Blockchain-enhanced efficient and anonymous certificateless signature scheme and its application
WoS,Blockchain-Based Secure Cross-Domain Data Sharing for Edge-Assisted Industrial Internet of Things
WoS,Blockchain-Assisted Cross-Domain Data Sharing in Industrial IoT
WoS,BSCDA: Blockchain-Based Secure Cross-Domain Data Access Scheme for Internet of Things
WoS,Cloud IoT-Oriented Secure College Physical Education Teaching Platform Vased on Deep Learning
Scopus,"International Conference on Signal Processing and Communication Security, ICSPCS 2024"
Scopus,A Secure Framework of Internet of Production for Data Exchange
WoS,Blockchain-Assisted Secure Intra/Inter-Domain Authorization and Authentication for Internet of Things
WoS,A Blockchain-Based Cross-Domain and Autonomous Access Control Scheme for Internet of Things
WoS,Decentralized AI-Enabled Trusted Wireless Network: A New Collaborative Computing Paradigm for Internet of Things
WoS,Blockchain-Based Lightweight Authentication Mechanisms for Industrial Internet of Things and Information Systems
Scopus,Secure Data Sharing for Cross-domain Industrial IoT Based on Consortium Blockchain
Scopus,A Blockchain-Based Cross Domain Authentication Scheme in Edge Computing Environment
Scopus,A Lightweight Certificateless Authentication and Key Agreement Protocol for Cloud Environments
Scopus,Split-Chain based Efficient Blockchain-Assisted Cross-Domain Authentication
Scopus,A Cross-Domain Authentication Scheme Based Master-Slave Chain in Edge Computing
WoS,Secure Decentralized Identity Management using Blockchain
Scopus,"25th International Conference on Information and Communications Security, ICICS 2023"
Scopus,"Proceedings - 2023 IEEE International Conference on e-Business Engineering, ICEBE 2023"
Scopus,Multidomain security authentication for the Internet of things
Scopus,Cross-Domain Authentication Scheme for IoT Devices Based on BlockChain
WoS,A Cross-domain Authentication Scheme Based on Zero-Knowledge Proof
Scopus,Optical and Wireless Convergence Network Based on Blockchain
Scopus,An Extensible and Secure Architecture based on Microservices
Scopus,"T-HIBE: A Novel Key Establishment Solution for Decentralized, Multi-Tenant IoT Systems"
Scopus,A Blockchain-Based Privacy-Preserving Publish-Subscribe Model in IoT Multidomain Data Sharing
Scopus,"17th International Conference on Information Security Practice and Experience, ISPEC 2022"
Scopus,"4th International Conference on Science of Cyber Security, SciSec 2022"
WoS,Role of machine learning and deep learning in securing 5G-driven industrial IoT applications
WoS,A New Hybrid Online and Offline Multi-Factor Cross-Domain Authentication Method for IoT Applications in the Automotive Industry
WoS,Cross-domain secure data sharing using blockchain for industrial IoT
Scopus,Research on Block Chain Service Composition Strategy Based on Big Data
