round,category,operation,inner_iterations,mean_us
1,crypto,SHA-256 (256 B),2000,1.1165999999999998
1,crypto,HMAC-SHA256 (256 B),2000,1.5903
1,crypto,AES-128-GCM encrypt (256 B),2000,0.6636
1,crypto,AES-128-GCM decrypt (256 B),2000,0.58025
1,crypto,ECDSA-P256 sign,300,18.770333333333333
1,crypto,ECDSA-P256 verify,300,48.88633333333333
1,crypto,ECDH-P256 shared secret,300,36.447
1,crypto,ECC-P256 key generation,80,12.2625
1,crypto,X25519 shared secret,600,23.090833333333332
1,crypto,RSA-2048 sign,50,425.852
1,crypto,RSA-2048 verify,300,17.996333333333332
1,hash_path,Merkle-style hash-path lookup N=1,1000,0.8207000000000001
1,hash_path,Merkle-style hash-path update N=1,1000,2.2319
1,hash_path,Merkle-style hash-path lookup N=10,1000,2.6474
1,hash_path,Merkle-style hash-path update N=10,1000,3.9551999999999996
1,hash_path,Merkle-style hash-path lookup N=50,1000,3.905
1,hash_path,Merkle-style hash-path update N=50,1000,5.196
1,hash_path,Merkle-style hash-path lookup N=100,1000,4.715199999999999
1,hash_path,Merkle-style hash-path update N=100,1000,6.1581
1,hash_path,Merkle-style hash-path lookup N=200,1000,4.8323
1,hash_path,Merkle-style hash-path update N=200,1000,6.602600000000001
1,hash_path,Merkle-style hash-path lookup N=500,1000,5.7889
1,hash_path,Merkle-style hash-path update N=500,1000,7.4996
1,hash_path,Merkle-style hash-path lookup N=1000,1000,6.3043000000000005
1,hash_path,Merkle-style hash-path update N=1000,1000,7.8689
2,crypto,SHA-256 (256 B),2000,1.24785
2,crypto,HMAC-SHA256 (256 B),2000,1.71595
2,crypto,AES-128-GCM encrypt (256 B),2000,0.5932000000000001
2,crypto,AES-128-GCM decrypt (256 B),2000,0.6093500000000001
2,crypto,ECDSA-P256 sign,300,19.66933333333333
2,crypto,ECDSA-P256 verify,300,52.181666666666665
2,crypto,ECDH-P256 shared secret,300,39.30533333333334
2,crypto,ECC-P256 key generation,80,12.48625
2,crypto,X25519 shared secret,600,24.197
