model,tool,replicate,status,elapsed_s
M1,ProVerif,1,PASS,0.026187
M1,ProVerif,2,PASS,0.023790
M1,ProVerif,3,PASS,0.023922
M1,ProVerif,4,PASS,0.024114
M1,ProVerif,5,PASS,0.022337
M1,ProVerif,6,PASS,0.022996
M1,ProVerif,7,PASS,0.023697
M1,ProVerif,8,PASS,0.027813
M1,ProVerif,9,PASS,0.027219
M1,ProVerif,10,PASS,0.022690
M2,ProVerif,1,PASS,0.022644
M2,ProVerif,2,PASS,0.020484
M2,ProVerif,3,PASS,0.021852
M2,ProVerif,4,PASS,0.022266
M2,ProVerif,5,PASS,0.027206
M2,ProVerif,6,PASS,0.025539
M2,ProVerif,7,PASS,0.029046
M2,ProVerif,8,PASS,0.022724
M2,ProVerif,9,PASS,0.026681
M2,ProVerif,10,PASS,0.032235
M3,ProVerif,1,PASS,0.054229
M3,ProVerif,2,PASS,0.039995
M3,ProVerif,3,PASS,0.032107
M3,ProVerif,4,PASS,0.034873
M3,ProVerif,5,PASS,0.040040
M3,ProVerif,6,PASS,0.034100
M3,ProVerif,7,PASS,0.035890
M3,ProVerif,8,PASS,0.035288
M3,ProVerif,9,PASS,0.033903
M3,ProVerif,10,PASS,0.037047
M4,ProVerif,1,PASS,0.025889
M4,ProVerif,2,PASS,0.023494
M4,ProVerif,3,PASS,0.025178
M4,ProVerif,4,PASS,0.023610
M4,ProVerif,5,PASS,0.025751
M4,ProVerif,6,PASS,0.026310
M4,ProVerif,7,PASS,0.027216
M4,ProVerif,8,PASS,0.032997
M4,ProVerif,9,PASS,0.028618
M4,ProVerif,10,PASS,0.029236
M5,ProVerif,1,PASS,0.009862
M5,ProVerif,2,PASS,0.009667
M5,ProVerif,3,PASS,0.009205
M5,ProVerif,4,PASS,0.011008
M5,ProVerif,5,PASS,0.009877
M5,ProVerif,6,PASS,0.009963
M5,ProVerif,7,PASS,0.011361
M5,ProVerif,8,PASS,0.015447
M5,ProVerif,9,PASS,0.009869
M5,ProVerif,10,PASS,0.010155
M6,ProVerif,1,PASS,0.013181
M6,ProVerif,2,PASS,0.013366
M6,ProVerif,3,PASS,0.013942
M6,ProVerif,4,PASS,0.012994
M6,ProVerif,5,PASS,0.012061
M6,ProVerif,6,PASS,0.011995
M6,ProVerif,7,PASS,0.013238
M6,ProVerif,8,PASS,0.013478
M6,ProVerif,9,PASS,0.013584
M6,ProVerif,10,PASS,0.014736
M1,Tamarin,1,PASS,0.254257
M1,Tamarin,2,PASS,0.224291
M1,Tamarin,3,PASS,0.255059
M1,Tamarin,4,PASS,0.224453
M1,Tamarin,5,PASS,0.224087
M1,Tamarin,6,PASS,0.274787
M1,Tamarin,7,PASS,0.234543
M1,Tamarin,8,PASS,0.214639
M1,Tamarin,9,PASS,0.234302
M1,Tamarin,10,PASS,0.233741
M2,Tamarin,1,PASS,0.324271
M2,Tamarin,2,PASS,0.324305
M2,Tamarin,3,PASS,0.314443
M2,Tamarin,4,PASS,0.304448
M2,Tamarin,5,PASS,0.324330
M2,Tamarin,6,PASS,0.314518
M2,Tamarin,7,PASS,0.305300
M2,Tamarin,8,PASS,0.284564
M2,Tamarin,9,PASS,0.294143
M2,Tamarin,10,PASS,0.304043
M3,Tamarin,1,PASS,0.274219
M3,Tamarin,2,PASS,0.254099
M3,Tamarin,3,PASS,0.284516
M3,Tamarin,4,PASS,0.244729
M3,Tamarin,5,PASS,0.284104
M3,Tamarin,6,PASS,0.325178
M3,Tamarin,7,PASS,0.294488
M3,Tamarin,8,PASS,0.254316
M3,Tamarin,9,PASS,0.253950
M3,Tamarin,10,PASS,0.274092
M4,Tamarin,1,PASS,0.243970
M4,Tamarin,2,PASS,0.223707
M4,Tamarin,3,PASS,0.213882
M4,Tamarin,4,PASS,0.213853
M4,Tamarin,5,PASS,0.214237
M4,Tamarin,6,PASS,0.234698
M4,Tamarin,7,PASS,0.243952
M4,Tamarin,8,PASS,0.223574
M4,Tamarin,9,PASS,0.234130
M4,Tamarin,10,PASS,0.244034
M5,Tamarin,1,PASS,0.243842
M5,Tamarin,2,PASS,0.243775
M5,Tamarin,3,PASS,0.223831
M5,Tamarin,4,PASS,0.213942
M5,Tamarin,5,PASS,0.254250
M5,Tamarin,6,PASS,0.234290
M5,Tamarin,7,PASS,0.243847
M5,Tamarin,8,PASS,0.234114
M5,Tamarin,9,PASS,0.234030
M5,Tamarin,10,PASS,0.273588
M6,Tamarin,1,PASS,0.213838
M6,Tamarin,2,PASS,0.203950
M6,Tamarin,3,PASS,0.174317
M6,Tamarin,4,PASS,0.183904
M6,Tamarin,5,PASS,0.184232
M6,Tamarin,6,PASS,0.194044
M6,Tamarin,7,PASS,0.193805
M6,Tamarin,8,PASS,0.184372
M6,Tamarin,9,PASS,0.184388
M6,Tamarin,10,PASS,0.204024
M1,Scyther,1,PASS,0.008344
M1,Scyther,2,PASS,0.009233
M1,Scyther,3,PASS,0.007867
M1,Scyther,4,PASS,0.008122
M1,Scyther,5,PASS,0.007842
M1,Scyther,6,PASS,0.012064
M1,Scyther,7,PASS,0.013513
M1,Scyther,8,PASS,0.008463
M1,Scyther,9,PASS,0.010272
M1,Scyther,10,PASS,0.008873
M2,Scyther,1,PASS,0.010537
M2,Scyther,2,PASS,0.012156
M2,Scyther,3,PASS,0.009118
M2,Scyther,4,PASS,0.011906
M2,Scyther,5,PASS,0.010841
M2,Scyther,6,PASS,0.011267
M2,Scyther,7,PASS,0.009003
M2,Scyther,8,PASS,0.011205
M2,Scyther,9,PASS,0.009426
M2,Scyther,10,PASS,0.011059
M3,Scyther,1,PASS,0.009687
M3,Scyther,2,PASS,0.008106
M3,Scyther,3,PASS,0.008179
M3,Scyther,4,PASS,0.015781
M3,Scyther,5,PASS,0.011145
M3,Scyther,6,PASS,0.014859
M3,Scyther,7,PASS,0.013150
M3,Scyther,8,PASS,0.008445
M3,Scyther,9,PASS,0.008437
M3,Scyther,10,PASS,0.009936
M4,Scyther,1,PASS,0.010734
M4,Scyther,2,PASS,0.007401
M4,Scyther,3,PASS,0.006673
M4,Scyther,4,PASS,0.008134
M4,Scyther,5,PASS,0.007923
M4,Scyther,6,PASS,0.007906
M4,Scyther,7,PASS,0.009618
M4,Scyther,8,PASS,0.007708
M4,Scyther,9,PASS,0.008455
M4,Scyther,10,PASS,0.009410
M5,Scyther,1,PASS,0.006797
M5,Scyther,2,PASS,0.007905
M5,Scyther,3,PASS,0.013374
M5,Scyther,4,PASS,0.013091
M5,Scyther,5,PASS,0.008942
