paper_id,ref_number,mechanism_family,deployment_crosscutting_facets,verification_level,title,doi
P224,29,Other/classical-general,ledger-present; privacy/anonymity-layer,D,Toward Cross-Domain Dynamic Accumulator Authentication Based on Blockchain in Internet of Things,10.1109/tii.2021.3116049
P140,30,Ledger-mediated trust,ledger-present,C,A distributed identity management and cross-domain authentication scheme for the Internet of Things,10.1016/j.future.2025.107818
P216,31,Post-quantum,ledger-present,E,PQ-BCDA A post-quantum blockchain based cross-domain authentication scheme for Internet of Things,10.1016/j.iot.2025.101737
P186,32,Group-/ring-signature,privacy/anonymity-layer; no-ledger,E,DCAGS-IoT Dynamic Cross-Domain Authentication Scheme Using Group Signature in IoT,10.3390/app13105847
P130,33,Ledger-mediated trust,ledger-present,E,A Blockchain-Based Cross-Domain Authentication Management System for IoT Devices,10.1109/tnse.2023.3292624
P134,34,Other/classical-general,privacy/anonymity-layer; no-ledger,E,A Certificate Authority Domain-based Cross-domain Authentication Scheme for Virtual Enterprise Using Identity Based Encryption,10.1109/bigcom53800.2021.00007
P152,35,Certificateless split-key,ledger-present; privacy/anonymity-layer,B,A Privacy-Aware Cross-Domain Device Authentication Scheme for IIoT Based on Blockchain,10.1109/hpcc-dss-smartcity-dependsys53884.2021.00097
P156,36,Ledger-mediated trust,ledger-present,E,A Trusted IoT Communication Architecture Based on Blockchain and Named Data Network,10.1088/1742-6596/2224/1/012091
P202,37,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer,A,Hybrid-Blockchain-Based Cross-Domain Authentication for Internet of Marine Things,10.1016/j.csi.2026.104140
P164,38,Ledger-mediated trust,ledger-present,A,BCEDAS A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario,10.1109/tits.2026.3670901
P176,39,Ledger-mediated trust,ledger-present,E,Blockchain-Empowered Decentralized Horizontal Federated Learning for 5G-Enabled UAVs,10.1109/tii.2021.3116132
P173,40,Ledger-mediated trust,ledger-present,E,Blockchain-Based Cross-Domain Authentication for Intelligent 5G-Enabled Internet of Drones,10.1109/jiot.2021.3113321
P200,41,Ledger-mediated trust,ledger-present; multi-ledger,E,Federated Hierarchical Trust-Based Interaction Scheme for Cross-Domain Industrial IoT,10.1109/jiot.2022.3200854
P113,42,Ledger-mediated trust,ledger-present; privacy/anonymity-layer,E,Blockchain-Based Cross-Domain Authentication With Dynamic Domain Participation in IoT,10.1109/jiot.2024.3486331
P159,43,Ledger-mediated trust,ledger-present; multi-ledger,C,An Efficient Consensus Algorithm for Blockchain-Based Cross-Domain Authentication in Bandwidth-Constrained Wide-Area IoT Networks,10.1109/jiot.2024.3420719
P168,44,Ledger-mediated trust,ledger-present,E,BLECA A Blockchain-Based Lightweight and Efficient Cross-Domain Authentication Scheme for Smart Parks,10.32604/cmc.2023.041676
P201,45,Certificateless split-key,ledger-present; multi-ledger; privacy/anonymity-layer,D,Hybrid blockchain-based many-to-many cross-domain authentication scheme for smart agriculture IoT networks,10.1016/j.jksuci.2024.101946
P116,46,Ledger-mediated trust,ledger-present,D,Bridge of Trust Cross Domain Authentication for Industrial Internet of Things (IIoT) Blockchain over Transport Layer Security (TLS),10.3390/electronics12112401
P102,47,Ledger-mediated trust,ledger-present,E,CCAP A Complete Cross-Domain Authentication Based on Blockchain for Internet of Things,10.1109/tifs.2022.3214733
P185,48,Ledger-mediated trust,ledger-present,A,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,10.1007/s12083-025-02055-z
